,steps,heart_rate
0,6259,85.56
1,2524,77.79
2,1636,78.25
3,2640,80.02
4,2239,79.93
5,4688,80.49
6,2185,79.32
7,6802,81.59
8,3304,80.91
9,2956,80.05
10,3875,80.55
11,228,78.55
12,741,84.35
13,3421,78.58
14,2379,79.58
15,3197,79.87
16,2968,81.07
17,1536,78.36
18,2736,79.81
19,2160,78.44
20,2564,81.15
21,4127,80.04
22,1390,81.44
23,9630,84.3
24,1696,82.2
25,2482,81.96
26,687,84.2
27,4198,81.31
28,1669,82.85
29,2835,81.97
30,1688,81.46
31,1980,84.33
32,8931,83.42
33,1914,83.2
34,6466,80.44
35,2594,79.85
36,3985,80.97
37,846,77.81
38,1451,81.14
39,10508,81.12
40,8491,85.47
41,6065,79.15
42,3091,78.8
43,1858,79.53
44,2666,80.97
45,2850,80.56
46,5651,80.57
47,2138,78.59
48,6338,78.62
49,2640,79.87
50,2055,78.56
51,1736,78.98
52,2242,79.78
53,2032,79.89
54,8200,82.42
55,7424,86.37
56,1946,78.75
57,2656,78.74
58,4136,81.04
59,3882,80.15
60,4101,79.98
61,3457,79.02
62,7653,79.71
63,2773,79.88
64,2697,80.38
65,3069,79.21
66,3146,81.74
67,1222,79.35
68,2392,78.95
69,2758,80.86
70,3857,79.42
71,1616,81.15
72,2571,81.93
73,4765,81.18
74,4755,80.38
75,7897,81.71
76,4857,80.91
77,5049,81.25
78,4011,81.74
79,1589,82.73
80,4345,83.09
81,3285,78.93
82,5237,79.85
83,5508,79.35
84,12524,79.97
85,9830,81.39
86,3862,78.7
87,4670,79.18
88,7035,80.68
89,6460,83.23
90,4303,80.02
91,3217,79.51
92,1784,78.01
93,3105,80.67
94,2333,80.71
95,2803,80.32
96,5311,81.5
97,4723,82.52
98,2315,79.47
99,1334,79.14
100,6824,80.01
101,1568,80.27
102,2767,78.82
103,5099,78.54
104,5837,79.8
105,4035,78.76
106,3285,78.69
107,3219,78.78
108,3634,79.44
109,12887,78.15
110,3988,77.13
111,4382,76.46
112,3609,77.12
113,2244,76.86
114,1816,77.99
115,2693,78.33
116,2238,81.48
117,2191,77.68
118,3715,76.36
119,3416,79.58
120,10315,80.02
121,9357,81.59
122,1952,79.17
123,1114,75.9
124,2097,77.88
125,3445,77.19
126,1405,77.54
127,1308,76.99
128,7081,76.97
129,1635,78.03
130,8891,76.21
131,1563,77.91
132,2655,75.86
133,2467,75.62
134,2868,75.22
135,371,69.1
136,528,71.39
137,3311,77.83
138,1341,74.93
139,1928,74.88
140,578,75.37
141,1786,75.38
142,6581,76.1
143,11005,82.81
144,3223,85.86
145,1283,75.98
146,1847,77.13
147,2728,77.8
148,1448,75.03
149,5865,78.36
150,2555,77.38
151,3673,77.79
152,1483,73.49
153,2375,74.82
154,2898,75.27
155,2224,75.59
156,2832,77.71
157,2915,80.47
158,3375,79.64
159,1196,77.99
160,1637,73.17
161,2002,74.57
162,1213,74.15
163,1991,77.24
164,1294,77.21
165,2048,75.81
166,2556,74.97
167,1168,71.52
168,2370,73.95
169,2062,74.4
170,1642,77.72
171,1252,77.57
172,228,70.33
173,2410,73.56
174,4503,77.38
175,8070,76.08
176,3368,78.43
177,2615,76.13
178,3093,78.35
179,598,72.54
180,1925,72.35
181,1348,74.38
182,2009,77.28
183,838,75.98
184,192,75.06
185,936,75.9
186,549,75.31
187,3089,78.22
188,1016,88.15
189,2026,74.5
190,2421,75.68
191,1446,73.99
192,1356,75.54
193,1142,75.08
194,3632,75.67
195,2930,71.93
196,481,70.77
197,829,81.23
198,1397,77.94
199,1360,76.53
200,7048,78.75
201,3068,85.9
202,677,69.47
203,1368,73.67
204,1414,75.85
205,1271,75.79
206,4767,76.21
207,3583,79.29
208,1982,74.14
209,2173,69.45
210,2503,75.67
211,1312,75.18
212,1182,75.88
213,1496,76.54
214,2781,73.3
215,2674,71.02
216,2229,75.99
217,2534,75.18
218,1241,77.13
219,905,77.06
220,425,73.05
221,1841,72.65
222,1097,73.66
223,1599,75.17
224,1029,75.41
225,1645,76.12
226,1189,77.0
227,1020,74.75
228,8965,78.57
229,5542,76.48
230,2949,77.7
231,1632,75.74
232,1234,75.23
233,2123,78.33
234,9765,81.07
235,16457,84.77
236,13057,83.02
237,8242,81.54
238,13549,80.7
239,12131,80.83
240,17434,84.72
241,10553,82.97
242,14746,84.97
243,4611,80.68
244,1585,79.08
245,2343,73.96
246,4886,80.11
247,1943,78.45
248,2342,79.21
249,4533,76.7
250,4543,77.84
251,710,75.6
252,1374,77.98
253,1716,77.78
254,2263,77.54
255,5862,78.8
256,9823,78.4
257,2520,76.13
258,410,73.57
259,2389,75.92
260,610,71.97
261,881,77.32
262,2572,75.84
263,1505,72.19
264,256,70.33
265,5295,77.94
266,3684,78.22
267,3013,76.22
268,3594,76.37
269,2124,79.85
270,20678,80.37
271,2665,77.36
272,4773,79.5
273,2981,78.48
274,2957,79.84
275,4462,79.65
276,1093,77.36
277,5270,80.19
278,2992,78.46
279,1668,77.38
280,2854,76.96
281,1559,75.62
282,2886,78.78
283,2108,79.5
284,6301,76.87
285,11459,78.39
286,2965,77.01
287,767,76.61
288,3731,78.0
289,670,76.67
290,740,77.54
291,2320,78.54
292,3225,76.51
293,2701,76.07
294,2935,75.95
295,656,76.45
296,3165,77.53
297,3030,77.27
298,3298,78.24
299,3625,81.62
300,5098,76.22
301,2761,79.28
302,1044,78.04
303,1292,76.9
304,3377,78.6
305,3048,85.74
306,2448,76.47
307,2464,75.89
308,2710,73.94
309,365,72.95
310,994,76.04
311,1783,75.78
312,2499,77.97
313,2085,74.73
314,2630,76.72
315,5252,79.89
316,2645,80.11
317,5955,78.41
318,1588,79.26
319,2807,74.78
320,2093,72.88
321,4418,78.91
322,2904,78.12
323,1348,78.66
324,4006,79.22
325,2930,76.41
326,2328,78.92
327,2751,80.79
328,2045,76.31
329,3471,75.78
330,2567,78.17
331,2784,76.38
332,5157,80.66
333,3058,78.34
334,2501,75.65
335,5291,77.18
336,4631,77.21
337,5076,79.72
338,2703,78.59
339,8351,80.74
340,7673,80.65
341,1296,70.66
342,1041,73.03
343,810,72.4
344,1122,77.71
345,1214,77.6
346,3175,77.61
347,1823,74.3
348,475,69.14
349,940,75.23
350,519,72.38
351,2792,74.06
352,588,71.24
353,541,72.17
354,775,73.04
355,407,73.05
356,3451,73.85
357,758,75.16
358,3899,74.27
359,5732,76.36
360,1924,75.66
361,6414,73.14
362,5493,71.35
363,4322,73.35
364,1941,71.23
365,1134,73.49
366,1764,72.3
367,909,73.52
368,2935,75.4
369,2548,71.76
370,4647,77.48
371,1890,74.2
372,705,73.47
373,1011,75.46
374,9599,76.23
375,2328,74.95
376,2973,75.5
377,2876,74.71
378,1330,72.46
379,1030,75.67
380,3048,72.15
381,2632,76.96
382,5745,75.37
383,2573,77.18
384,726,75.99
385,2891,76.16
386,823,74.8
387,627,72.22
388,3243,75.83
389,2940,70.43
390,2795,75.35
391,3715,77.71
392,3351,75.28
393,10789,80.96
394,2145,71.3
395,429,68.86
396,1523,82.56
397,2092,74.37
398,940,74.0
399,2665,77.22
400,1712,78.41
401,1836,74.51
402,4993,77.21
403,670,76.16
404,1278,72.0
405,3864,77.15
406,2769,75.1
407,2682,74.5
408,5218,75.04
409,4328,75.96
410,452,72.03
411,4764,74.88
412,3534,75.82
413,1177,72.95
414,1686,74.29
415,4680,74.47
416,2800,73.54
417,2816,73.23
418,2645,73.36
419,604,74.06
420,1620,75.57
421,3039,76.02
422,15076,77.58
423,4361,75.68
424,1035,73.65
425,1049,74.88
426,286,73.77
427,475,75.81
428,1104,75.44
429,4588,74.7
430,4861,72.7
431,4164,75.39
432,960,75.96
433,3478,76.78
434,5654,82.31
435,10507,77.3
436,11280,79.29
437,3225,76.48
438,5384,72.65
439,4149,77.86
440,2664,70.8
441,5034,75.54
442,4174,69.53
443,15192,77.97
444,1734,73.21
445,970,71.23
446,11749,76.81
447,2097,68.98
448,8727,75.28
449,1934,76.43
450,7278,76.31
451,1862,75.96
452,3107,75.22
453,5986,78.96
454,4644,74.36
455,13983,77.41
456,4680,76.99
457,2269,75.08
458,6900,82.96
459,5461,78.07
460,2782,74.43
461,20086,78.47
462,777,77.73
463,13878,78.13
464,12582,78.91
465,11503,73.83
466,179,69.09
467,6470,76.3
468,8082,74.42
469,412,73.5
470,419,71.37
471,242,71.08
472,6059,86.03
473,33144,85.15
474,289,71.19
475,15579,87.27
476,5472,75.08
477,6951,72.66
478,4360,80.29
479,5432,73.42
480,2044,68.95
481,6867,73.12
482,1996,74.96
483,15036,77.2
484,16980,84.66
485,10624,73.22
486,9838,73.14
487,990,72.53
488,3223,74.12
489,15886,78.2
490,12177,80.43
491,3944,74.91
492,5029,72.65
493,1030,71.88
494,1346,70.71
495,8385,76.22
496,6618,74.22
497,1461,80.72
498,3626,81.79
499,21070,80.29
500,12507,74.45
501,1146,72.17
502,18969,78.13
503,8901,77.0
504,5979,76.72
505,12940,78.43
506,1249,75.94
507,4835,74.89
508,4697,75.48
509,3650,76.37
510,759,72.25
511,13736,77.82
512,9610,79.41
513,14241,77.4
514,2878,75.52
515,990,71.87
516,4410,76.77
517,5736,78.07
518,9414,78.58
519,1645,74.91
520,3161,70.98
521,3330,73.12
522,7290,78.27
523,1325,76.02
524,17638,78.61
525,9391,83.04
526,4502,78.31
527,11762,76.86
528,416,71.64
529,3173,77.02
530,263,75.6
531,336,74.02
532,2899,77.79
533,16645,80.86
534,10476,80.48
535,14022,77.32
536,7792,76.11
537,15938,77.71
538,3355,75.7
539,1322,78.96
540,2719,78.61
541,640,69.86
542,1292,75.03
543,480,70.52
544,8056,77.71
545,2665,76.15
546,3313,74.82
547,4182,78.75
548,6133,83.17
549,1008,72.78
550,1213,73.02
551,726,74.59
552,1281,73.02
553,7025,77.98
554,13514,83.74
555,9624,76.55
556,1626,74.41
557,2331,69.5
558,7246,72.49
559,3087,70.37
560,16706,76.44
561,1235,72.8
562,19659,73.63
563,225,67.79
564,5810,72.09
565,783,68.17
566,7532,75.14
567,10993,76.12
568,2209,74.34
569,4142,71.43
570,652,67.17
571,2883,66.51
572,11292,83.14
573,2108,73.61
574,5621,77.15
575,7776,74.12
576,10509,76.93
577,11828,71.91
578,225,65.98
579,416,69.83
580,4334,71.28
581,164,68.97
582,7400,78.87
583,3272,75.49
584,8278,74.56
585,556,77.32
586,465,69.93
587,417,75.52
588,809,72.34
589,5981,77.73
590,1570,77.63
591,3891,71.83
592,6224,74.14
593,14232,77.87
594,524,69.59
595,5858,69.52
596,5500,68.98
597,1726,70.47
598,3835,71.94
599,4151,71.8
600,3965,73.57
601,476,71.04
602,3202,74.24
603,1645,74.43
604,7475,74.35
605,1959,73.6
606,4732,73.35
607,4232,74.45
608,13169,74.91
609,3610,84.11
610,4746,76.2
611,3830,76.17
612,758,69.81
613,446,71.56
614,3211,75.92
615,6945,77.28
616,4707,78.45
617,4059,78.13
618,2611,73.17
619,1052,70.51
620,4311,74.91
621,864,74.04
622,3915,75.62
623,363,71.86
624,10905,74.61
625,3543,78.12
626,1408,72.32
627,9473,80.04
628,8012,81.06
629,2465,70.11
630,4356,70.59
631,7574,82.12
632,4145,76.65
633,3380,73.37
634,2353,71.99
635,11217,76.81
636,5270,80.39
637,3109,74.72
638,3879,73.65
639,2984,73.88
640,3409,72.15
641,4403,77.06
642,5343,80.23
643,4347,78.25
644,6231,76.22
645,3249,75.64
646,2929,72.3
647,205,70.51
648,2460,73.4
649,624,72.17
650,7238,76.17
651,6290,77.29
652,1031,82.52
653,6161,73.79
654,3835,75.19
655,5619,72.45
656,2183,72.63
657,3663,74.19
