,steps,heart_rate,raw_intensity,feeling_rate
23,867,88.11,50.41,2
24,10730,87.16,49.8,2
25,8222,86.96,47.03,2
26,13984,86.84,51.61,2
28,11294,86.93,49.66,2
29,3079,87.89,49.26,1
30,10414,85.9,44.24,2
31,12165,87.19,51.0,2
32,5392,88.18,53.06,2
33,14427,86.65,49.05,2
34,8480,87.94,48.29,1
35,8738,84.51,45.72,2
36,6222,85.87,46.03,2
37,6541,85.42,40.24,1
38,12701,87.79,52.56,1
39,10810,85.91,51.26,2
40,8366,83.2,40.02,1
41,8539,86.52,46.75,2
42,12235,84.63,51.22,2
43,12148,87.94,53.3,2
44,7763,87.15,46.6,2
45,15301,87.3,54.47,2
46,9520,85.53,48.43,2
47,11209,88.96,53.24,2
48,9963,87.9,59.97,2
49,10686,89.62,54.95,2
50,12141,87.07,51.99,2
51,9445,84.73,40.88,2
52,15243,85.3,52.13,2
53,4190,87.1,44.6,2
54,11865,87.05,51.52,2
55,11474,87.35,59.9,2
56,7907,88.55,50.33,2
57,13309,85.49,47.65,2
58,5500,88.55,53.49,2
59,13355,85.26,53.45,2
60,2084,86.4,41.81,2
61,8193,87.76,52.68,2
62,8628,87.21,53.72,2
66,10138,83.85,45.65,2
69,7719,85.2,45.99,2
70,7818,86.55,45.29,2
71,10333,86.74,47.7,2
72,12637,86.56,54.5,2
73,9919,87.42,53.61,2
77,18879,85.51,54.35,2
78,16616,87.38,57.11,2
79,10720,85.18,50.51,2
80,5323,86.5,47.43,2
81,4627,84.53,43.61,2
82,12873,88.87,59.78,2
83,6238,86.92,47.7,1
84,8881,84.66,43.66,1
85,5804,87.2,53.78,1
86,8509,87.5,48.65,2
87,12712,86.64,49.9,2
88,10557,86.47,48.18,1
89,12328,85.19,53.9,2
90,8366,88.42,45.46,2
91,8822,84.14,46.52,2
92,10619,88.31,56.98,2
93,1309,85.37,34.7,2
94,6587,86.16,45.37,2
95,2485,87.61,45.21,2
96,2203,85.54,43.71,1
97,7094,88.54,53.19,1
99,40691,87.8,73.93,2
103,15243,86.61,54.29,2
105,11320,86.1,49.09,2
107,7157,86.75,42.64,1
108,8543,85.38,42.99,1
109,8705,86.64,52.38,1
110,3034,86.39,56.29,1
111,67,87.4,23.18,2
112,5309,97.48,29.91,2
113,8717,88.25,49.47,2
114,11988,88.86,41.93,2
115,874,86.07,22.94,2
