,steps,heart_rate,raw_intensity,feeling_rate,time_of_day
0,0,115.0,16.0,2,3
1,181,91.98,37.96,2,4
2,65,85.43,36.16,2,4
3,35,87.56,33.18,2,4
4,397,84.0,49.94,2,4
5,304,95.64,93.17,2,5
6,231,85.69,46.24,2,5
7,4623,87.46,94.03,2,5
8,3861,82.0,95.13,2,5
9,411,151.75,115.0,2,2
10,546,90.27,47.4,2,2
11,13,85.24,31.64,2,3
12,454,84.11,56.45,2,3
13,60,92.86,40.73,2,3
14,162,88.96,53.98,2,3
15,264,89.09,43.84,2,4
16,336,87.58,48.55,2,4
17,699,93.94,70.2,2,4
18,900,92.92,77.44,2,4
19,28,83.37,34.66,2,5
20,97,87.86,34.82,2,5
21,1170,85.41,65.4,2,5
22,1816,87.48,102.68,2,5
23,193,93.29,62.73,2,2
24,2187,91.43,73.88,2,3
25,868,82.33,52.83,2,3
26,29,88.55,33.32,2,3
27,36,96.0,31.57,2,3
28,232,93.51,45.92,2,4
29,818,90.55,56.73,2,4
30,4175,94.86,90.98,2,4
31,289,87.68,50.45,2,4
32,153,87.82,41.89,2,5
33,2194,84.8,68.96,2,5
34,2177,93.44,85.7,2,5
35,3060,87.53,79.08,2,5
36,94,84.48,44.39,2,6
37,22,84.57,30.41,2,6
38,5,87.48,35.0,2,6
39,2339,104.54,65.86,2,2
40,76,82.86,35.15,2,2
41,237,82.2,34.67,2,3
42,228,83.84,39.61,2,3
43,246,87.69,39.55,2,3
44,110,83.78,34.51,2,3
45,1852,90.35,56.17,2,4
46,620,83.64,48.67,2,4
47,87,84.83,40.19,2,4
48,1091,89.26,52.09,2,4
49,1287,92.52,74.93,2,5
50,500,93.22,56.0,2,5
51,1482,87.76,69.79,2,5
52,1495,88.0,62.51,2,5
53,32,84.8,34.52,2,6
54,8,81.35,31.15,2,6
55,180,89.58,46.36,2,3
56,87,88.16,42.21,2,3
57,227,87.33,46.83,2,3
58,300,84.52,50.42,2,4
59,127,85.67,38.96,2,4
60,166,87.07,38.7,2,4
61,498,88.8,76.39,2,4
62,638,91.68,82.63,2,5
63,34,89.06,32.45,2,5
64,140,88.84,48.88,2,5
65,3622,91.0,92.52,2,5
66,4654,91.2,97.63,2,6
67,185,85.0,56.2,2,6
68,1634,98.44,79.43,2,2
69,1148,85.2,47.65,2,2
70,0,81.1,28.78,2,3
71,60,81.12,29.34,2,3
72,396,84.98,41.98,2,3
73,0,80.84,26.33,2,3
74,123,82.86,31.47,2,4
75,1187,80.8,49.33,2,4
76,2132,85.76,74.41,2,4
77,0,87.48,6.0,2,4
78,3226,87.53,81.45,2,5
79,306,93.54,74.2,2,5
80,2659,88.67,84.1,2,5
81,224,82.56,47.73,2,5
82,517,91.76,65.75,2,6
83,377,84.98,50.23,2,6
84,672,82.11,51.5,2,6
85,1285,96.11,56.95,2,6
86,362,96.57,62.3,2,3
87,377,95.14,62.88,2,3
88,548,94.22,79.88,2,4
89,380,95.56,100.28,2,4
90,652,90.26,68.92,2,4
91,4252,91.0,100.0,2,4
92,967,86.92,68.73,2,5
93,2905,96.0,110.13,2,5
94,1345,96.41,94.62,2,5
95,2311,90.08,92.67,2,5
96,1021,101.74,73.13,2,6
97,1877,90.78,110.52,2,6
98,3379,83.33,87.5,2,6
99,138,83.62,42.93,2,6
100,504,87.56,55.51,2,1
101,914,83.93,53.0,2,1
102,1069,49.0,124.55,2,1
103,225,123.78,78.08,2,3
104,2404,91.73,77.08,2,3
105,1250,88.0,52.31,2,4
106,1569,91.08,70.7,2,4
107,75,85.67,34.64,2,4
108,161,82.67,46.2,2,4
109,285,87.27,45.73,2,5
110,576,83.08,42.32,2,5
111,97,92.75,39.11,2,5
112,0,87.48,76.0,2,2
113,1501,90.36,65.28,2,2
114,816,81.82,45.2,2,2
115,289,83.13,39.85,2,3
116,272,88.82,37.92,2,3
117,245,87.53,33.55,2,3
118,500,86.04,36.36,2,3
119,365,86.72,39.43,2,4
120,382,82.29,38.02,2,4
121,1271,83.89,55.07,2,4
122,1635,89.23,75.63,2,4
123,527,81.8,43.12,2,5
124,19,84.07,39.97,2,5
125,121,84.53,40.63,2,5
126,16,86.34,35.27,2,5
127,579,86.89,62.18,2,6
128,207,97.67,48.39,2,3
129,252,95.22,45.4,2,3
130,81,87.85,36.55,2,3
131,1282,86.32,56.62,2,3
132,686,80.73,38.27,2,4
133,789,81.12,43.09,2,4
134,1567,86.07,61.71,2,4
135,691,91.85,61.61,2,4
136,220,85.22,41.69,2,5
137,656,86.0,43.05,2,5
138,683,82.25,44.91,2,5
139,227,100.29,51.68,2,2
140,928,87.62,52.91,2,2
141,126,84.23,36.83,2,3
142,1348,86.59,68.2,2,3
143,1072,83.12,45.71,2,3
144,7,82.98,26.64,2,3
145,667,88.73,41.83,2,4
146,1859,91.43,61.03,2,4
147,95,87.41,26.9,2,4
148,0,80.57,23.41,2,4
149,2043,85.71,72.27,2,5
150,229,89.53,50.43,2,5
151,1736,90.48,68.34,2,5
152,1724,81.88,66.72,2,5
153,273,93.9,57.33,2,2
154,121,87.68,40.46,2,3
155,247,90.05,40.38,2,3
156,141,87.84,39.85,2,3
157,230,86.0,48.58,2,3
158,45,86.96,44.31,2,4
159,114,85.12,38.04,2,4
160,1770,88.53,67.79,2,4
161,754,91.29,81.45,2,4
162,2910,83.81,76.71,2,5
163,31,82.09,28.35,2,5
164,185,84.57,46.68,2,5
165,95,83.84,37.3,2,5
166,0,83.89,32.11,2,6
167,113,131.67,82.22,2,2
168,2121,84.41,63.84,2,2
169,0,82.4,34.35,2,2
170,2273,80.73,67.95,2,3
