date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2021-01-01,11,168,86,2021-01-01 03:58:00+0000,2021-01-01 10:05:00+0000,102,
2021-01-02,64,452,41,2021-01-01 23:48:00+0000,2021-01-02 10:05:00+0000,60,
2021-01-03,60,448,9,2021-01-03 00:44:00+0000,2021-01-03 09:52:00+0000,31,
2021-01-04,105,293,16,2021-01-04 00:03:00+0000,2021-01-04 08:09:00+0000,72,
2021-01-05,57,387,0,2021-01-05 00:31:00+0000,2021-01-05 08:58:00+0000,63,
2021-01-06,88,292,54,2021-01-06 01:05:00+0000,2021-01-06 09:44:00+0000,85,
2021-01-07,51,331,4,2021-01-07 00:55:00+0000,2021-01-07 08:31:00+0000,70,
2021-01-08,102,305,22,2021-01-08 00:32:00+0000,2021-01-08 08:28:00+0000,47,
2021-01-09,92,336,0,2021-01-09 00:41:00+0000,2021-01-09 08:18:00+0000,29,
2021-01-10,12,290,0,2021-01-10 01:03:00+0000,2021-01-10 06:30:00+0000,25,"[{\"start\":\"2019-04-14 00:32:44+0000\",\"end\":\"2019-04-14 00:32:55+0000\"},{\"start\":\"2019-04-14 00:32:56+0000\",\"end\":\"2019-04-14 00:33:19+0000\"},{\"start\":\"2019-04-14 00:33:20+0000\",\"end\":\"2019-04-14 00:34:53+0000\"}]"
2021-01-11,59,259,11,2021-01-11 00:51:00+0000,2021-01-11 06:59:00+0000,39,
2021-01-12,52,256,2,2021-01-11 23:47:00+0000,2021-01-12 05:37:00+0000,40,
2021-01-13,0,0,0,2021-01-11 23:00:00+0000,2021-01-11 23:00:00+0000,0,
2021-01-14,0,0,0,2021-01-12 23:00:00+0000,2021-01-12 23:00:00+0000,0,
2021-01-15,0,0,0,2021-01-13 23:00:00+0000,2021-01-13 23:00:00+0000,0,
2021-01-16,0,0,0,2021-01-14 23:00:00+0000,2021-01-14 23:00:00+0000,0,
2021-01-17,0,0,0,2021-01-15 23:00:00+0000,2021-01-15 23:00:00+0000,0,
2021-01-18,0,0,0,2021-01-16 23:00:00+0000,2021-01-16 23:00:00+0000,0,
2021-01-19,0,0,0,2021-01-17 23:00:00+0000,2021-01-17 23:00:00+0000,0,
2021-01-20,0,0,0,2021-01-18 23:00:00+0000,2021-01-18 23:00:00+0000,0,
2021-01-21,0,0,0,2021-01-19 23:00:00+0000,2021-01-19 23:00:00+0000,0,
2021-01-22,0,0,0,2021-01-20 23:00:00+0000,2021-01-20 23:00:00+0000,0,
2021-01-23,0,0,0,2021-01-21 23:00:00+0000,2021-01-21 23:00:00+0000,0,
2021-01-24,89,355,3,2021-01-24 00:44:00+0000,2021-01-24 09:07:00+0000,56,
2021-01-25,90,263,12,2021-01-25 00:21:00+0000,2021-01-25 07:54:00+0000,88,
2021-01-26,80,324,30,2021-01-26 00:20:00+0000,2021-01-26 08:47:00+0000,73,
2021-01-27,55,204,24,2021-01-27 00:41:00+0000,2021-01-27 06:34:00+0000,70,
2021-01-28,63,255,49,2021-01-28 00:34:00+0000,2021-01-28 08:10:00+0000,89,
2021-01-29,66,309,60,2021-01-29 00:35:00+0000,2021-01-29 08:41:00+0000,51,
2021-01-30,54,331,40,2021-01-30 00:23:00+0000,2021-01-30 09:33:00+0000,125,
2021-01-31,49,330,32,2021-01-31 00:54:00+0000,2021-01-31 09:17:00+0000,92,
2021-02-01,50,310,25,2021-02-01 00:42:00+0000,2021-02-01 07:47:00+0000,40,
2021-02-02,103,346,13,2021-02-02 00:09:00+0000,2021-02-02 08:40:00+0000,49,
2021-02-03,64,301,0,2021-02-03 00:50:00+0000,2021-02-03 07:18:00+0000,23,
2021-02-04,50,318,5,2021-02-04 00:02:00+0000,2021-02-04 06:54:00+0000,39,
2021-02-05,25,286,74,2021-02-05 00:29:00+0000,2021-02-05 08:32:00+0000,98,
2021-02-06,0,0,0,2021-02-04 23:00:00+0000,2021-02-04 23:00:00+0000,0,
2021-02-07,41,178,53,2021-02-07 00:38:00+0000,2021-02-07 06:36:00+0000,86,"[{\"start\":\"2019-04-14 00:33:44+0000\",\"end\":\"2019-04-14 00:34:43+0000\"}]"
2021-02-08,68,250,61,2021-02-08 00:02:00+0000,2021-02-08 08:37:00+0000,136,
2021-02-09,75,308,27,2021-02-09 00:28:00+0000,2021-02-09 08:00:00+0000,42,
2021-02-10,60,199,5,2021-02-10 00:13:00+0000,2021-02-10 06:08:00+0000,91,
2021-02-11,69,300,34,2021-02-11 00:16:00+0000,2021-02-11 08:07:00+0000,68,
2021-02-12,48,308,2,2021-02-12 00:15:00+0000,2021-02-12 06:54:00+0000,41,
2021-02-13,93,314,65,2021-02-13 00:40:00+0000,2021-02-13 09:07:00+0000,35,
2021-02-14,88,358,49,2021-02-14 00:38:00+0000,2021-02-14 09:55:00+0000,62,
2021-02-15,42,340,16,2021-02-15 00:51:00+0000,2021-02-15 07:53:00+0000,24,
2021-02-16,94,311,20,2021-02-16 00:57:00+0000,2021-02-16 08:58:00+0000,56,
2021-02-17,68,282,41,2021-02-17 00:37:00+0000,2021-02-17 07:58:00+0000,50,
2021-02-18,82,240,40,2021-02-18 01:01:00+0000,2021-02-18 09:03:00+0000,120,
2021-02-19,69,355,27,2021-02-18 23:56:00+0000,2021-02-19 08:48:00+0000,81,
2021-02-20,74,270,26,2021-02-20 00:51:00+0000,2021-02-20 08:57:00+0000,116,
2021-02-21,53,387,10,2021-02-21 01:15:00+0000,2021-02-21 09:35:00+0000,50,
2021-02-22,58,181,37,2021-02-22 00:52:00+0000,2021-02-22 06:38:00+0000,70,"[{\"start\":\"2019-04-14 00:33:14+0000\",\"end\":\"2019-04-14 00:33:47+0000\"}]"
2021-02-23,66,273,70,2021-02-23 00:40:00+0000,2021-02-23 08:25:00+0000,56,
2021-02-24,86,335,12,2021-02-24 00:41:00+0000,2021-02-24 08:33:00+0000,39,
2021-02-25,112,285,34,2021-02-24 23:45:00+0000,2021-02-25 08:01:00+0000,65,
2021-02-26,84,336,27,2021-02-25 23:46:00+0000,2021-02-26 08:28:00+0000,75,
2021-02-27,98,359,15,2021-02-27 00:09:00+0000,2021-02-27 09:38:00+0000,97,
2021-02-28,100,290,51,2021-02-28 00:03:00+0000,2021-02-28 08:30:00+0000,66,
2021-03-01,60,183,6,2021-02-28 23:54:00+0000,2021-03-01 04:57:00+0000,54,"[{\"start\":\"2019-04-14 00:32:16+0000\",\"end\":\"2019-04-14 00:32:26+0000\"},{\"start\":\"2019-04-14 00:32:27+0000\",\"end\":\"2019-04-14 00:32:31+0000\"},{\"start\":\"2019-04-14 00:32:32+0000\",\"end\":\"2019-04-14 00:32:48+0000\"}]"
2021-03-02,74,301,21,2021-03-02 00:22:00+0000,2021-03-02 08:11:00+0000,73,
2021-03-03,110,328,29,2021-03-02 23:52:00+0000,2021-03-03 08:22:00+0000,43,
2021-03-04,66,385,2,2021-03-04 00:34:00+0000,2021-03-04 08:54:00+0000,47,
2021-03-05,68,288,15,2021-03-05 00:35:00+0000,2021-03-05 07:08:00+0000,22,
2021-03-06,67,279,34,2021-03-06 01:04:00+0000,2021-03-06 07:58:00+0000,34,
2021-03-07,84,174,28,2021-03-07 03:32:00+0000,2021-03-07 09:22:00+0000,64,
2021-03-08,84,230,72,2021-03-08 00:05:00+0000,2021-03-08 08:58:00+0000,147,
2021-03-09,70,281,19,2021-03-09 00:39:00+0000,2021-03-09 08:06:00+0000,77,
2021-03-10,71,334,0,2021-03-10 00:11:00+0000,2021-03-10 08:08:00+0000,72,
2021-03-11,54,244,25,2021-03-11 00:23:00+0000,2021-03-11 07:13:00+0000,87,
2021-03-12,89,361,24,2021-03-11 23:49:00+0000,2021-03-12 08:43:00+0000,60,
2021-03-13,44,280,53,2021-03-13 00:19:00+0000,2021-03-13 08:52:00+0000,136,
2021-03-14,52,302,42,2021-03-14 00:13:00+0000,2021-03-14 08:06:00+0000,77,
2021-03-15,63,310,19,2021-03-14 23:52:00+0000,2021-03-15 08:14:00+0000,110,
2021-03-16,87,312,10,2021-03-16 00:46:00+0000,2021-03-16 08:13:00+0000,38,
2021-03-17,89,256,29,2021-03-17 00:14:00+0000,2021-03-17 07:07:00+0000,39,"[{\"start\":\"2019-04-14 00:33:23+0000\",\"end\":\"2019-04-14 00:33:50+0000\"}]"
2021-03-18,91,273,18,2021-03-18 00:15:00+0000,2021-03-18 07:26:00+0000,49,
2021-03-19,96,299,19,2021-03-19 00:30:00+0000,2021-03-19 08:15:00+0000,51,
2021-03-20,60,393,5,2021-03-20 00:15:00+0000,2021-03-20 08:30:00+0000,37,
2021-03-21,52,320,39,2021-03-21 01:08:00+0000,2021-03-21 08:54:00+0000,55,
2021-03-22,58,328,0,2021-03-22 00:07:00+0000,2021-03-22 07:17:00+0000,44,
2021-03-23,70,333,34,2021-03-22 23:52:00+0000,2021-03-23 07:39:00+0000,30,
2021-03-24,47,227,44,2021-03-24 00:37:00+0000,2021-03-24 07:41:00+0000,106,
2021-03-25,45,215,9,2021-03-25 00:25:00+0000,2021-03-25 05:54:00+0000,60,
2021-03-26,57,334,13,2021-03-26 00:47:00+0000,2021-03-26 08:55:00+0000,84,
2021-03-27,47,298,70,2021-03-26 23:54:00+0000,2021-03-27 08:36:00+0000,107,
2021-03-28,46,158,1,2021-03-28 02:00:00+0000,2021-03-28 06:08:00+0000,43,
2021-03-29,90,339,0,2021-03-28 23:30:00+0000,2021-03-29 07:07:00+0000,28,
2021-03-30,44,364,38,2021-03-29 23:07:00+0000,2021-03-30 07:44:00+0000,71,
2021-03-31,48,320,3,2021-03-30 23:08:00+0000,2021-03-31 05:48:00+0000,29,
2021-04-01,58,407,26,2021-03-31 23:01:00+0000,2021-04-01 08:09:00+0000,57,
2021-04-02,97,330,30,2021-04-01 23:11:00+0000,2021-04-02 07:24:00+0000,36,
2021-04-03,90,321,48,2021-04-02 23:18:00+0000,2021-04-03 07:26:00+0000,29,
2021-04-04,20,279,38,2021-04-03 23:00:00+0000,2021-04-04 06:49:00+0000,132,
2021-04-05,47,233,11,2021-04-04 23:41:00+0000,2021-04-05 05:19:00+0000,47,"[{\"start\":\"2019-04-14 00:32:34+0000\",\"end\":\"2019-04-14 00:33:03+0000\"},{\"start\":\"2019-04-14 00:33:04+0000\",\"end\":\"2019-04-14 00:33:04+0000\"},{\"start\":\"2019-04-14 00:33:05+0000\",\"end\":\"2019-04-14 00:33:12+0000\"}]"
2021-04-06,78,236,53,2021-04-06 00:14:00+0000,2021-04-06 07:48:00+0000,87,
2021-04-07,83,277,32,2021-04-06 23:59:00+0000,2021-04-07 07:39:00+0000,68,
2021-04-08,57,222,7,2021-04-07 23:41:00+0000,2021-04-08 06:12:00+0000,105,
2021-04-09,81,272,13,2021-04-08 23:46:00+0000,2021-04-09 06:25:00+0000,33,
