date,steps,distance,runDistance,calories
2019-11-29,0,0,0,0
2019-11-30,4930,3499,294,111
2019-12-01,586,368,119,19
2019-12-02,6509,4661,314,140
2019-12-03,7711,5332,491,156
2019-12-04,6234,4349,373,129
2019-12-05,5925,4101,323,122
2019-12-06,7081,4948,263,142
2019-12-07,7063,4870,669,141
2019-12-08,881,558,167,22
2019-12-09,5878,4162,364,129
2019-12-10,5584,3887,211,113
2019-12-11,5479,3867,375,116
2019-12-12,8498,5926,1051,174
2019-12-13,5104,3558,192,106
2019-12-14,3435,2457,260,75
2019-12-15,6763,4823,336,145
2019-12-16,8137,6054,221,184
2019-12-17,7410,5184,392,151
2019-12-18,11928,8339,283,236
2019-12-19,8336,5903,255,170
2019-12-20,2769,1961,125,60
2019-12-21,2426,1530,272,57
2019-12-22,6117,3896,303,110
2019-12-23,15276,11115,372,311
2019-12-24,2642,1662,274,59
2019-12-25,1244,781,174,31
2019-12-26,2626,1667,302,53
2019-12-27,1361,886,169,31
2019-12-28,877,550,132,22
2019-12-29,1186,744,130,27
2019-12-30,6634,4561,574,135
2019-12-31,937,588,88,23
2020-01-01,2292,1438,178,47
2020-01-02,10680,7392,372,218
2020-01-03,5131,3696,317,126
2020-01-04,7409,5270,319,161
2020-01-05,1489,951,236,35
2020-01-06,534,335,105,14
2020-01-07,6674,4729,245,135
2020-01-08,8851,6128,787,180
2020-01-09,5227,3720,297,110
2020-01-10,8938,6332,510,190
2020-01-11,6926,4996,204,153
2020-01-12,1280,803,120,27
2020-01-13,6092,4255,298,121
2020-01-14,5385,3769,486,118
2020-01-15,9058,6265,468,176
2020-01-16,5172,3596,169,104
2020-01-17,5851,4137,328,125
2020-01-18,6096,4282,285,122
2020-01-19,390,245,52,10
2020-01-20,5245,3711,406,113
2020-01-21,8493,6060,622,183
2020-01-22,8115,5665,559,165
2020-01-23,6606,4501,610,133
2020-01-24,8357,5905,438,176
2020-01-25,3159,2181,272,72
2020-01-26,5987,4270,1213,136
2020-01-27,4782,3431,327,107
2020-01-28,10592,7398,539,206
2020-01-29,10279,7185,1215,210
2020-01-30,4938,3418,292,97
2020-01-31,9817,6933,479,197
2020-02-01,5685,3915,335,115
2020-02-02,590,370,137,18
2020-02-03,7577,5499,252,158
2020-02-04,4439,3163,272,102
2020-02-05,1089,684,182,25
2020-02-06,5222,3682,386,106
2020-02-07,6766,4713,505,135
2020-02-08,6204,4358,333,122
2020-02-09,1750,1098,176,38
2020-02-10,7603,5231,631,153
2020-02-11,1109,696,193,26
2020-02-12,9531,6843,551,196
2020-02-13,1583,1035,167,34
2020-02-14,7359,5135,471,154
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,11075,7884,386,221
2020-02-18,2231,1444,172,40
2020-02-19,641,402,89,16
2020-02-20,1557,1073,53,31
2020-02-22,322,202,71,8
2020-02-23,2524,1650,277,53
2020-02-24,4676,3367,325,101
2020-02-25,4033,2936,130,86
2020-02-26,933,585,127,23
2020-02-27,6327,4553,306,131
2020-02-28,6954,5024,278,145
2020-02-29,4307,2850,472,90
2020-03-01,739,464,102,20
2020-03-02,11832,8178,1044,234
2020-03-03,378,237,110,10
2020-03-04,8969,6450,353,188
2020-03-05,9192,6528,452,186
2020-03-06,9536,6730,560,197
2020-03-07,3101,2244,161,70
2020-03-08,864,542,104,19
2020-03-09,8584,6090,381,176
2020-03-10,3896,2907,198,98
2020-03-11,10496,7229,630,199
2020-03-12,3820,2794,96,87
2020-03-13,3606,2637,183,83
2020-03-14,956,600,160,27
2020-03-15,1172,757,128,28
