time,heartRate
2020-08-29 23:30:10+0000,91
2020-08-13 14:06:01+0000,92
2020-08-10 15:25:44+0000,99
2020-08-04 22:39:35+0000,92
2020-08-04 19:09:25+0000,66
2020-08-02 12:02:07+0000,91
2020-08-02 10:56:04+0000,61
2020-07-24 17:02:02+0000,74
2020-07-24 14:07:47+0000,97
2020-07-14 20:17:07+0000,84
2020-07-10 15:20:59+0000,76
2020-07-09 22:23:00+0000,115
2020-07-08 19:16:28+0000,61
2020-07-07 00:34:01+0000,73
2020-07-06 12:15:46+0000,75
2020-07-04 22:54:23+0000,107
2020-06-17 19:49:33+0000,79
2020-06-16 19:06:20+0000,82
2020-06-16 16:56:09+0000,54
2020-06-12 17:19:31+0000,125
2020-06-12 17:18:33+0000,48
2020-06-11 22:18:24+0000,55
2020-06-10 19:00:12+0000,61
2020-06-10 10:46:29+0000,73
2020-06-10 05:56:56+0000,91
2020-06-01 11:32:08+0000,85
2020-05-28 19:32:43+0000,62
2020-05-25 17:05:23+0000,61
2020-05-24 19:25:41+0000,102
2020-05-24 19:23:58+0000,96
2020-05-24 19:09:13+0000,76
2020-05-24 19:07:29+0000,132
2020-05-24 18:57:34+0000,111
2020-05-24 18:53:15+0000,86
2020-05-24 18:52:42+0000,128
2020-05-24 18:52:01+0000,47
2020-05-24 18:49:26+0000,85
2020-05-24 18:49:14+0000,53
2020-05-23 19:58:58+0000,76
2020-05-20 22:59:56+0000,84
2020-05-20 10:26:21+0000,77
2020-05-20 09:23:04+0000,105
2020-05-19 20:22:55+0000,98
2020-05-17 19:32:34+0000,62
2020-05-17 18:23:16+0000,115
2020-05-17 18:19:40+0000,113
2020-05-12 18:08:06+0000,107
2020-05-12 17:54:00+0000,105
2020-05-12 17:53:47+0000,112
2020-05-10 18:55:59+0000,78
2020-05-09 19:37:53+0000,119
2020-05-09 18:37:05+0000,117
2020-05-09 18:31:39+0000,133
2020-05-09 18:19:50+0000,122
2020-05-09 18:16:43+0000,130
2020-05-09 18:16:04+0000,130
2020-05-09 18:12:38+0000,89
2020-05-07 20:00:09+0000,116
2020-05-07 19:05:54+0000,121
2020-05-07 19:02:57+0000,86
2020-05-07 19:02:31+0000,89
2020-05-07 19:02:10+0000,101
2020-05-07 18:59:42+0000,69
2020-05-05 19:26:48+0000,130
2020-05-05 18:48:34+0000,110
2020-05-05 18:28:02+0000,92
2020-03-25 19:58:25+0000,79
2020-03-21 10:33:42+0000,66
2020-03-21 10:31:12+0000,75
2020-03-14 16:26:49+0000,75
2020-03-12 18:11:17+0000,104
2020-03-11 22:57:44+0000,93
2020-03-11 14:56:02+0000,117
2020-03-10 21:54:01+0000,80
2020-03-10 21:48:17+0000,47
2020-03-09 17:47:41+0000,86
2020-03-09 04:22:54+0000,85
2020-03-07 22:21:38+0000,98
2020-03-07 13:56:00+0000,119
2020-03-06 19:37:04+0000,76
2020-03-06 19:20:51+0000,48
2020-03-05 22:46:35+0000,61
2020-03-04 17:00:10+0000,75
2020-03-04 14:59:00+0000,91
2020-02-29 18:48:33+0000,111
2020-02-27 00:03:57+0000,80
2020-02-25 22:31:56+0000,73
2020-02-10 21:59:13+0000,109
2020-02-07 17:19:18+0000,100
2020-02-05 17:16:18+0000,48
2020-01-27 23:16:56+0000,115
2020-01-26 13:57:01+0000,108
2020-01-23 21:17:32+0000,93
2020-01-12 23:17:22+0000,78
2020-01-10 14:44:05+0000,99
2020-01-10 14:31:31+0000,84
2020-01-06 22:23:14+0000,75
2020-01-06 22:22:59+0000,87
2020-01-06 22:21:48+0000,87
2019-12-24 20:20:25+0000,67
2019-12-20 22:34:31+0000,82
2019-12-16 23:01:49+0000,65
2019-12-10 14:40:28+0000,62
2019-12-06 16:13:43+0000,94
2019-12-02 08:31:03+0000,68
2019-11-29 23:17:13+0000,76
